eccentric_shaft_angle_deg,gas_torque_chamber_A_Nm,gas_torque_chamber_B_Nm,gas_torque_chamber_C_Nm,gas_torque_total_Nm,mean_mechanical_loss_torque_Nm,conditional_shaft_torque_Nm
61.0,337.0131634921485,-14.399471622928548,4.049465883369354,326.6631577525893,4.098595965841337,322.56456178674796
62.0,337.3761872459543,-14.367211471039687,3.919300179715444,326.92827595463007,4.098595965841337,322.8296799887887
63.0,337.4689540279016,-14.33295818821159,3.7883789077659964,326.924374747456,4.098595965841337,322.82577878161464
64.0,337.29968056070004,-14.296716362767988,3.6567111171396665,326.6596753150717,4.098595965841337,322.56107934923034
65.0,336.87722255138175,-14.258490894196255,3.5243058381956196,326.1430374953811,4.098595965841337,322.04444152953977
66.0,336.2110012784765,-14.218286992765583,3.3911720783960853,325.383886364107,4.098595965841337,321.28529039826566
67.0,335.31092918804615,-14.176110179081489,3.257318818533287,324.39213782749795,4.098595965841337,320.2935418616566
68.0,334.1873351909628,-14.131966283576313,3.1227550088144618,323.17812391620095,4.098595965841337,319.0795279503596
69.0,332.8508903298972,-14.085861445935839,2.987489564796884,321.7525184487582,4.098595965841337,317.65392248291687
70.0,331.3125344537228,-14.037802114461632,2.8515313631650696,320.12626370242623,4.098595965841337,316.0276677365849
71.0,329.58340449993955,-13.987795045369376,2.7148892373418034,318.310498691912,4.098595965841337,314.21190272607066
72.0,327.6747649429843,-13.93584730202292,2.577571972924035,316.31648961388544,4.098595965841337,312.2178936480441
73.0,325.5979409186067,-13.881966254104109,2.439588302933323,314.1555629674359,4.098595965841337,310.05696700159456
74.0,323.3642544826548,-13.826159576718393,2.3009469028710123,311.83904180880745,4.098595965841337,307.7404458429661
75.0,320.984964407469,-13.768435249436296,2.161656385566991,309.37818554359967,4.098595965841337,305.2795895777583
76.0,318.4712098614766,-13.708801555270613,2.0217252958094463,306.78413360201546,4.098595965841337,302.6855376361741
77.0,315.83395825841933,-13.647267079589673,1.8811621047435183,304.0678532835732,4.098595965841337,299.96925731773183
78.0,313.0839575027801,-13.583840708966516,1.7399752040247307,301.2400919978383,4.098595965841337,297.14149603199695
79.0,310.2316927983004,-13.518531629964187,1.5981728997120415,298.31133406804827,4.098595965841337,294.2127381022069
80.0,307.28734812780226,-13.451349327857358,1.4557634058852489,295.29176220583014,4.098595965841337,291.1931662399888
81.0,304.2607724556467,-13.382303585290282,1.312754837968891,292.1912237083253,4.098595965841337,288.09262774248396
82.0,301.161450649792,-13.31140448087138,1.1691552057439962,289.01920137466465,4.098595965841337,284.9206054088233
83.0,297.9984790692241,-13.23866238770448,1.024972406028172,285.7847890875478,4.098595965841337,281.6861931217064
84.0,294.78054571507164,-13.164087971857262,0.8802142150016009,282.496671958216,4.098595965841337,278.39807599237463
85.0,291.51591480049933,-13.087692190766601,0.7348882801554891,279.16311088988823,4.098595965841337,275.0645149240469
