theta_deg,mass_kg,fresh_mass_kg,internal_energy_J,work_J,wall_heat_J,pressure_Pa,temperature_K,volume_m3,dV_ddeg_m3,mfuel_per_cycle_kg,p_in_effective_Pa
930.0,0.0004457671076287676,0.0004253051930603581,131.8661707242931,579.1407799915836,46.47513520056475,187721.4440693381,412.00352437424556,0.00028078697682705543,-2.3444448251522426e-06,2.9326056611725016e-05,101325.0
931.0,0.00044576687285631804,0.0004253049690645982,132.31965280686495,578.6976242435605,46.464711488211876,189954.63691329924,413.42060448896893,0.0002784401799303245,-2.3490960144705084e-06,2.9326056611725016e-05,101325.0
932.0,0.0004457666356520179,0.0004253047427486163,132.7792517892006,578.2483108968969,46.45432712597052,192237.77782666395,414.8568000612592,0.00027608889080859157,-2.353429173791627e-06,2.9326056611725016e-05,101325.0
933.0,0.000445766395996299,0.0004253045140937424,133.2450441465348,577.7927620586032,46.44398351181327,194572.1517378258,416.3123501035162,0.00027373342778876645,-2.3574437164751883e-06,2.9326056611725016e-05,101325.0
934.0,0.00044576615384201974,0.00042530428305499876,133.71710769341828,577.3308984391695,46.43368208907572,196959.08360186557,417.7874978399631,0.0002713741097628358,-2.361139099016378e-06,2.9326056611725016e-05,101325.0
935.0,0.00044576590913722426,0.00042530404958281446,134.1955216128212,576.8626393314224,46.42342434789872,199399.93978593714,419.28249077666635,0.0002690112561446936,-2.3645148211195535e-06,2.9326056611725016e-05,101325.0
936.0,0.0004457656618287256,0.000425303813626444,134.6803664773237,576.3879025893168,46.41321182671897,201896.12949383995,420.797580764489,0.00026664518682689725,-2.3675704257659763e-06,2.9326056611725016e-05,101325.0
937.0,0.00044576541186207015,0.0004253035751339334,135.1717242687691,575.9066046067094,46.403046113809424,204449.1062406007,422.33302406060113,0.00026427622213735644,-2.3703054992756937e-06,2.9326056611725016e-05,101325.0
938.0,0.0004457651591815006,0.0004253033340520847,135.66967839784994,575.4186602961469,46.39292884887125,207060.3693810947,423.88908138978286,0.00026190468279596894,-2.3727196713635318e-06,2.9326056611725016e-05,101325.0
939.0,0.0004457649037299182,0.00042530309032642004,136.17431372359056,574.9239830677033,46.38286172467914,209731.46569465546,425.46601800540907,0.0002595308898711997,-2.374812615189236e-06,2.9326056611725016e-05,101325.0
940.0,0.0004457646454488433,0.00042530284390114435,136.68571657268694,574.422484807903,46.37284648878171,212463.9910276614,427.0641037499917,0.0002571551647366122,-2.376584047401713e-06,2.9326056611725016e-05,101325.0
941.0,0.00044576438427837537,0.0004253025947191065,137.20397475866125,573.9140758587712,46.36288494525889,215259.59199615076,428.6836131151478,0.0002547778290273592,-2.378033728177401e-06,2.9326056611725016e-05,101325.0
942.0,0.00044576412015715085,0.00042530234272175973,137.7291776007844,573.3986649970558,46.352978956538195,218119.9677505636,430.32482530084695,0.00025239920459664154,-2.3791614612527266e-06,2.9326056611725016e-05,101325.0
943.0,0.00044576385302230037,0.0004253020878491206,138.26141594271667,572.8761594136691,46.34313044527184,221046.87180477983,431.9880242737829,0.0002500196134721308,-2.379967093950683e-06,2.9326056611725016e-05,101325.0
944.0,0.0004457635828094044,0.0004253018300397266,138.80078217081154,572.3464646934018,46.33334139627675,224042.11393165277,433.67349882469733,0.000247639377812374,-2.380450517201501e-06,2.9326056611725016e-05,101325.0
945.0,0.0004457633094524474,0.00042530156923059246,139.34737023202413,571.8094847949656,46.32361385853955,227107.56212730732,435.3815426244729,0.00024525881986317766,-2.3806116655574095e-06,2.9326056611725016e-05,101325.0
